Category,Command,Purpose,Syntax,Option,Description
Basic File and Directory Operations,ls,"The ls command lists all files and directories in the current directory. It provides valuable information about the files and directories within a specified directory, such as their names, permissions, timestamps, and more.",ls [options] [file|dir],-l,Provide detailed information about files and directories.
Basic File and Directory Operations,ls,"The ls command lists all files and directories in the current directory. It provides valuable information about the files and directories within a specified directory, such as their names, permissions, timestamps, and more.",ls [options] [file|dir],-a,"By default, ls omits hidden files from the output. To include hidden files, specify the -a option."
Basic File and Directory Operations,ls,"The ls command lists all files and directories in the current directory. It provides valuable information about the files and directories within a specified directory, such as their names, permissions, timestamps, and more.",ls [options] [file|dir],-h,"Modifies the output to display file sizes in a more human-friendly format. Instead of using bytes, the -h option formats the sizes using units like kilobytes (KB), megabytes (MB), gigabytes (GB), etc."
Basic File and Directory Operations,ls,"The ls command lists all files and directories in the current directory. It provides valuable information about the files and directories within a specified directory, such as their names, permissions, timestamps, and more.",ls [options] [file|dir],-S,Sort files and directories by size
Basic File and Directory Operations,cd,"The cd command changes the current directory to the directory specified as an argument to the command. It allows users to move to different locations in the file system and access files, directories, and resources in those directories.",cd [directory],-,Switches to the previous directory.
Basic File and Directory Operations,cd,"The cd command changes the current directory to the directory specified as an argument to the command. It allows users to move to different locations in the file system and access files, directories, and resources in those directories.",cd [directory],~,Switches to the home directory.
Basic File and Directory Operations,cd,"The cd command changes the current directory to the directory specified as an argument to the command. It allows users to move to different locations in the file system and access files, directories, and resources in those directories.",cd [directory],/,Switches to the root directory of the drive
Basic File and Directory Operations,cd,"The cd command changes the current directory to the directory specified as an argument to the command. It allows users to move to different locations in the file system and access files, directories, and resources in those directories.",cd [directory],..,Switches to the parent directory
Basic File and Directory Operations,cd,"The cd command changes the current directory to the directory specified as an argument to the command. It allows users to move to different locations in the file system and access files, directories, and resources in those directories.",cd [directory],../..,Switches to the directory two levels above
Basic File and Directory Operations,pwd,The pwd command prints the path of the current working directory. It is useful when you need to find your way within the Linux file system or to pass the working directory in a Bash script.,pwd [options],-L,Prints the logical path of the current directory.
Basic File and Directory Operations,pwd,The pwd command prints the path of the current working directory. It is useful when you need to find your way within the Linux file system or to pass the working directory in a Bash script.,pwd [options],-P,Prints the physical path of the current directory.
File Manipulation,cat,"The cat command is short for concatenate. It displays the contents of a file or files in the terminal without having to open the file for editing. It is convenient for viewing the contents of small text files, joining together and displaying multiple files' contents, or piping the output into other commands for further processing.",cat [options] [file path],-n,Numbers all the output lines.
File Manipulation,cat,"The cat command is short for concatenate. It displays the contents of a file or files in the terminal without having to open the file for editing. It is convenient for viewing the contents of small text files, joining together and displaying multiple files' contents, or piping the output into other commands for further processing.",cat [options] [file path],-b,Numbers all non-blank output lines.
File Manipulation,touch,"The touch command creates a new, empty file or updates the timestamp of an existing file. The command is useful when you want to create a new file without any content or when you need to modify the timestamps of a file to the current time without changing its contents.",touch [file],-a,Changes access time only.
File Manipulation,touch,"The touch command creates a new, empty file or updates the timestamp of an existing file. The command is useful when you want to create a new file without any content or when you need to modify the timestamps of a file to the current time without changing its contents.",touch [file],-m,Changes modification time only.
